NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,919520,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,3809355,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,289783,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,3195489,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,903099,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,514219,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,473845,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,349796,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,921382,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1057883,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,2113515,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,4934532,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,909027,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,641839,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1089382,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1714400,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,22537533,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,653357,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,265661,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2022,2022
6,Município,40,Mil Reais,1906485,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2022,2022
